Bin Inicio, Bin Fin, Frecuencia
1.000, 1.730, 136.0
1.730, 2.460, 143.0
2.460, 3.190, 124.0
3.190, 3.920, 0.0
3.920, 4.650, 137.0
4.650, 5.380, 117.0
5.380, 6.110, 99.0
6.110, 6.840, 0.0
6.840, 7.570, 121.0
7.570, 8.300, 114.0
8.300, 9.030, 106.0
9.030, 9.760, 0.0
9.760, 10.490, 88.0
10.490, 11.220, 82.0
11.220, 11.950, 0.0
11.950, 12.680, 75.0
12.680, 13.410, 63.0
13.410, 14.140, 62.0
14.140, 14.870, 0.0
14.870, 15.600, 44.0
15.600, 16.330, 42.0
16.330, 17.060, 35.0
17.060, 17.790, 0.0
17.790, 18.520, 22.0
18.520, 19.250, 20.0
19.250, 19.980, 0.0
19.980, 20.710, 13.0
20.710, 21.440, 17.0
21.440, 22.170, 9.0
22.170, 22.900, 0.0
22.900, 23.630, 8.0
23.630, 24.360, 4.0
24.360, 25.090, 4.0
25.090, 25.820, 0.0
25.820, 26.550, 3.0
26.550, 27.280, 1.0
27.280, 28.010, 1.0
28.010, 28.740, 0.0
28.740, 29.470, 0.0
29.470, 30.200, 0.0
30.200, 30.930, 0.0
30.930, 31.660, 1.0
31.660, 32.390, 0.0
32.390, 33.120, 0.0
33.120, 33.850, 0.0
33.850, 34.580, 0.0
34.580, 35.310, 0.0
35.310, 36.040, 0.0
36.040, 36.770, 0.0
36.770, 37.500, 0.0
37.500, 38.230, 0.0
38.230, 38.960, 0.0
38.960, 39.690, 0.0
39.690, 40.420, 0.0
40.420, 41.150, 0.0
41.150, 41.880, 0.0
41.880, 42.610, 0.0
42.610, 43.340, 0.0
43.340, 44.070, 0.0
44.070, 44.800, 0.0
44.800, 45.530, 0.0
45.530, 46.260, 0.0
46.260, 46.990, 0.0
46.990, 47.720, 0.0
47.720, 48.450, 0.0
48.450, 49.180, 0.0
49.180, 49.910, 0.0
49.910, 50.640, 0.0
50.640, 51.370, 0.0
51.370, 52.100, 0.0
52.100, 52.830, 0.0
52.830, 53.560, 0.0
53.560, 54.290, 0.0
54.290, 55.020, 0.0
55.020, 55.750, 0.0
55.750, 56.480, 0.0
56.480, 57.210, 0.0
57.210, 57.940, 0.0
57.940, 58.670, 0.0
58.670, 59.400, 0.0
59.400, 60.130, 0.0
60.130, 60.860, 0.0
60.860, 61.590, 0.0
61.590, 62.320, 0.0
62.320, 63.050, 0.0
63.050, 63.780, 0.0
63.780, 64.510, 0.0
64.510, 65.240, 0.0
65.240, 65.970, 0.0
65.970, 66.700, 0.0
66.700, 67.430, 0.0
67.430, 68.160, 0.0
68.160, 68.890, 0.0
68.890, 69.620, 0.0
69.620, 70.350, 0.0
70.350, 71.080, 0.0
71.080, 71.810, 0.0
71.810, 72.540, 0.0
72.540, 73.270, 0.0
73.270, 74.000, 1.0
